Frame,TileCount,Tiles
0,12,"0,6,1,7,2,8,3,9,4,10,5,11"
1,12,"0,6,1,7,2,8,3,9,4,10,5,11"
2,12,"0,6,1,7,2,8,3,9,4,10,5,11"
3,12,"0,6,1,7,2,8,3,9,4,10,5,11"
4,12,"0,6,1,7,2,8,3,9,4,10,5,11"
5,12,"0,6,1,7,2,8,3,9,4,10,5,11"
6,12,"0,6,1,7,2,8,3,9,4,10,5,11"
7,12,"0,6,1,7,2,8,3,9,4,10,5,11"
8,12,"0,6,1,7,2,8,3,9,4,10,5,11"
9,12,"0,6,1,7,2,8,3,9,4,10,5,11"
10,12,"0,6,1,7,2,8,3,9,4,10,5,11"
11,12,"0,6,1,7,2,8,3,9,4,10,5,11"
12,12,"0,6,1,7,2,8,3,9,4,10,5,11"
13,12,"0,6,1,7,2,8,3,9,4,10,5,11"
14,12,"0,6,1,7,2,8,3,9,4,10,5,11"
15,12,"0,6,1,7,2,8,3,9,4,10,5,11"
16,12,"0,6,1,7,2,8,3,9,4,10,5,11"
17,12,"0,6,1,7,2,8,3,9,4,10,5,11"
18,8,"2,8,3,9,4,10,5,11"
19,8,"2,8,3,9,4,10,5,11"
20,8,"2,8,3,9,4,10,5,11"
21,8,"2,8,3,9,4,10,5,11"
22,8,"2,8,3,9,4,10,5,11"
23,8,"2,8,3,9,4,10,5,11"
24,9,"0,2,8,3,9,4,10,5,11"
25,12,"0,6,1,7,2,8,3,9,4,10,5,11"
26,8,"0,6,1,7,2,8,3,9"
27,8,"0,6,1,7,2,8,3,9"
28,8,"0,6,1,7,2,8,3,9"
29,8,"0,6,1,7,2,8,3,9"
30,8,"0,6,1,7,2,8,3,9"
31,8,"0,6,1,7,2,8,3,9"
32,8,"0,6,1,7,2,8,3,9"
33,8,"0,6,1,7,2,8,3,9"
34,8,"0,6,1,7,2,8,3,9"
35,12,"0,6,1,7,2,8,3,9,4,10,5,11"
36,12,"0,6,1,7,2,8,3,9,4,10,5,11"
37,12,"0,6,1,7,2,8,3,9,4,10,5,11"
38,10,"0,1,2,8,3,9,4,10,5,11"
39,8,"2,8,3,9,4,10,5,11"
40,8,"2,8,3,9,4,10,5,11"
41,8,"2,8,3,9,4,10,5,11"
42,8,"2,8,3,9,4,10,5,11"
43,8,"2,8,3,9,4,10,5,11"
44,8,"2,8,3,9,4,10,5,11"
45,8,"2,8,3,9,4,10,5,11"
46,8,"2,8,3,9,4,10,5,11"
47,8,"2,8,3,9,4,10,5,11"
48,11,"0,1,7,2,8,3,9,4,10,5,11"
49,12,"0,6,1,7,2,8,3,9,4,10,5,11"
